Location	2010 Population	2014 Population
Hartford town	2,277	2,269
Hebron town	1,775	1,853
Jackson town	1,716	1,800
Kingsbury town	11,171	12,671
Putnam town	645	609
Salem town	2,702	2,715
White Creek town	3,411	3,356
Whitehall town	4,035	4,042
Wayne County	93,766	93,772
Arcadia town	14,889	14,244
Butler town	2,277	2,064
Galen town	4,439	4,290
Huron town	2,117	2,118
Lyons town	5,831	5,682
Macedon town	8,688	9,148
Marion town	4,974	4,746
Ontario town	9,779	10,136
Palmyra town	7,672	7,975
Rose town	2,442	2,369
Savannah town	1,838	1,730
Sodus town	8,949	8,384
Walworth town	8,402	9,449
Williamson town	6,777	6,984
Wolcott town	4,692	4,453
Westchester County	923,459	949,113
Bedford town	18,133	17,335
Cortlandt town	38,469	41,592
Eastchester town	31,334	32,363
Greenburgh town	86,831	88,400
Harrison town	24,129	27,472
Lewisboro town	12,324	12,411
Mamaroneck town	28,967	29,156
Mount Kisco town	10,007	10,877
Mount Pleasant town	43,221	43,724
Mount Vernon city	68,381	67,292
New Castle town	17,467	17,569
New Rochelle city	72,182	77,062
North Castle town	10,849	11,841
North Salem town	5,173	5,104
Ossining town	36,534	37,674
Peekskill city	22,441	23,583
Pelham town	11,866	12,396
Pound Ridge town	4,726	5,104
Rye city	14,953	15,720
Rye town	43,907	45,928
Scarsdale town	17,825	17,166
Somers town	18,346	20,434
White Plains city	53,075	56,853
Yonkers city	196,001	195,976
Yorktown town	36,318	36,081
Wyoming County	43,424	42,155
Arcade town	4,184	4,205
Attica town	7,806	7,702
Bennington town	3,349	3,359
Castile town	2,873	2,906
Covington town	1,357	1,232
Eagle town	1,194	1,192
Gainesville town	2,333	2,182
Genesee Falls town	460	438
Java town	2,222	2,057
Middlebury town	1,508	1,441
Orangeville town	1,301	1,355
Perry town	4,876	4,616
Pike town	1,086	1,114
Sheldon town	2,561	2,409
Warsaw town	5,423	5,064
Wethersfield town	891	883
Yates County	24,621	25,348
Barrington town	1,396	1,681
Benton town	2,640	2,836
Italy town	1,087	1,141
Jerusalem town	4,525	4,469
Middlesex town	1,345	1,495
Milo town	7,026	7,006
Potter town	1,830	1,865
Starkey town	3,465	3,573
Torrey town	1,307	1,282
