Location	2010 Population	2014 Population
Taghkanic town	1,118	1,310
Cortland County	48,599	49,336
Cincinnatus town	1,048	1,056
Cortland city	18,740	19,204
Cortlandville town	7,919	8,509
Cuyler town	1,036	980
Freetown town	789	757
Harford town	919	943
Homer town	6,363	6,405
Lapeer town	686	767
Marathon town	2,189	1,967
Preble town	1,582	1,393
Scott town	1,193	1,176
Solon town	1,108	1,079
Taylor town	500	523
Truxton town	1,225	1,133
Virgil town	2,288	2,401
Willet town	1,014	1,043
Delaware County	48,057	47,980
Andes town	1,356	1,301
Bovina town	664	633
Colchester town	2,042	2,077
Davenport town	2,774	2,965
Delhi town	4,629	5,117
Deposit town	1,687	1,712
Franklin town	2,621	2,411
Hamden town	1,280	1,323
Hancock town	3,451	3,224
Harpersfield town	1,603	1,577
Kortright town	1,633	1,675
Masonville town	1,405	1,320
Meredith town	1,588	1,529
Middletown town	4,051	3,750
Roxbury town	2,509	2,502
Sidney town	6,109	5,774
Stamford town	1,943	2,267
Tompkins town	1,105	1,247
Walton town	5,607	5,576
Dutchess County	280,153	297,488
Amenia town	4,062	4,436
Beacon city	14,805	15,541
Beekman town	13,698	14,621
Clinton town	4,011	4,312
Dover town	8,562	8,699
East Fishkill town	25,588	29,029
Fishkill town	19,261	22,107
Hyde Park town	20,837	21,571
La Grange town	14,926	15,730
Milan town	2,359	2,370
North East town	3,002	3,031
Pawling town	7,521	8,463
Pine Plains town	2,559	2,473
Pleasant Valley town	9,063	9,672
Poughkeepsie city	30,157	32,736
Poughkeepsie town	42,492	43,341
Red Hook town	10,394	11,319
Rhinebeck town	7,774	7,548
Stanford town	3,553	3,823
Union Vale town	4,521	4,877
Wappinger town	26,272	27,048
Washington town	4,736	4,741
Erie County	950,265	919,040
Alden town	10,470	10,865
Amherst town	116,510	122,366
Aurora town	13,996	13,782
Boston town	7,897	8,023
Brant town	1,906	2,065
Buffalo city	292,648	261,310
Cattaraugus Reservation	0	1,833
Cheektowaga town	94,019	88,226
Clarence town	26,123	30,673
Colden town	3,323	3,265
Collins town	8,307	6,601
Concord town	8,526	8,494
Eden town	8,076	7,688
Elma town	11,304	11,317
Evans town	17,594	16,356
Grand Island town	18,621	20,374
Hamburg town	56,261	56,936
Holland town	3,603	3,401
Lackawanna city	19,064	18,141
Lancaster town	39,019	41,604
Marilla town	5,709	5,327
Newstead town	8,404	8,594
North Collins town	3,376	3,523
Orchard Park town	27,635	29,054
Sardinia town	2,692	2,775
Tonawanda city	16,136	15,130
Tonawanda town	78,155	73,567
Tonawanda Reservation	0	34
Wales town	2,960	3,005
West Seneca town	45,920	44,711
Essex County	38,849	39,370
Chesterfield town	2,409	2,445
Crown Point town	2,119	2,024
Elizabethtown town	1,315	1,163
Essex town	713	671
Jay town	2,306	2,506
Keene town	1,063	1,105
Lewis town	1,200	1,382
Minerva town	796	809
Moriah town	4,879	4,798
Newcomb town	481	436
North Elba town	8,659	8,957
North Hudson town	266	240
St. Armand town	1,321	1,548
Schroon town	1,759	1,654
Ticonderoga town	5,167	5,042
Westport town	1,362	1,312
Willsboro town	1,903	2,025
Wilmington town	1,131	1,253
Franklin County	51,134	51,599
Bangor town	2,147	2,224
Bellmont town	1,423	1,434
Bombay town	1,192	1,357
Brandon town	542	577
Brighton town	1,682	1,435
Burke town	1,359	1,465
Chateaugay town	2,036	2,155
Constable town	1,428	1,566
Dickinson town	739	823
Duane town	159	174
Fort Covington town	1,645	1,676
Franklin town	1,197	1,140
Harrietstown town	5,575	5,709
Malone town	14,981	14,545
Moira town	2,857	2,934
St. Regis Mohawk Reservation	2,699	3,228
Santa Clara town	395	345
Tupper Lake town	6,137	5,971
Waverly town	1,118	1,022
Westville town	1,823	1,819
Fulton County	55,077	55,531
Bleecker town	573	533
Broadalbin town	5,070	5,260
Caroga town	1,403	1,205
Ephratah town	1,693	1,682
Gloversville city	15,391	15,665
Johnstown city	8,636	8,743
Johnstown town	7,067	7,098
Mayfield town	6,432	6,495
Northampton town	2,760	2,670
Oppenheim town	1,774	1,924
Perth town	3,638	3,646
Stratford town	640	610
Genesee County	60,370	60,079
Alabama town	1,881	1,869
Alexander town	2,451	2,534
Batavia city	16,256	15,465
Batavia town	5,915	6,809
Bergen town	3,182	3,120
Bethany town	1,760	1,765
Byron town	2,493	2,369
Darien town	3,061	3,158
Elba town	2,439	2,370
Le Roy town	7,790	7,641
Oakfield town	3,203	3,250
Pavilion town	2,467	2,495
Pembroke town	4,530	4,292
Stafford town	2,409	2,459
Tonawanda Reservation	0	483
Greene County	48,185	49,221
Ashland town	752	784
Athens town	3,991	4,089
Cairo town	6,317	6,670
Catskill town	11,887	11,775
Coxsackie town	8,884	8,918
Durham town	2,592	2,725
Greenville town	3,316	3,739
Halcott town	193	258
Hunter town	2,717	2,732
Jewett town	970	953
Lexington town	830	805
New Baltimore town	3,411	3,370
Prattsville town	665	700
Windham town	1,660	1,703
Hamilton County	5,377	4,836
Arietta town	293	304
Benson town	201	192
Hope town	392	403
Indian Lake town	1,471	1,352
Inlet town	406	333
Lake Pleasant town	876	781
Long Lake town	850	711
Morehouse town	151	86
Wells town	737	674
Herkimer County	64,437	64,519
Columbia town	1,638	1,580
Danube town	1,098	1,039
Fairfield town	1,624	1,627
Frankfort town	7,386	7,636
German Flatts town	13,629	13,258
Herkimer town	9,962	10,175
Litchfield town	1,464	1,513
Little Falls city	5,193	4,946
Little Falls town	1,539	1,587
Manheim town	3,171	3,334
Newport town	2,169	2,302
Norway town	727	762
Ohio town	922	1,002
Russia town	2,487	2,587
Salisbury town	1,953	1,958
Schuyler town	3,385	3,420
Stark town	767	757
Warren town	1,133	1,143
Webb town	1,912	1,807
Winfield town	2,202	2,086
Jefferson County	111,738	116,229
Adams town	4,782	5,143
Alexandria town	4,097	4,061
Antwerp town	1,793	1,846
Brownville town	5,843	6,263
Cape Vincent town	3,345	2,777
Champion town	4,361	4,494
Clayton town	4,817	5,153
Ellisburg town	3,541	3,474
Henderson town	1,377	1,360
Hounsfield town	3,323	3,466
Le Ray town	19,836	21,782
Lorraine town	930	1,037
Lyme town	2,015	2,185
Orleans town	2,465	2,789
Pamelia town	2,897	3,160
Philadelphia town	2,140	1,947
Rodman town	1,147	1,176
Rutland town	2,959	3,060
Theresa town	2,414	2,905
Watertown city	26,705	27,023
Watertown town	4,482	4,470
Wilna town	6,235	6,427
Worth town	234	231
Kings County	2,465,531	2,504,700
Lewis County	26,944	27,087
Croghan town	3,163	3,093
Denmark town	2,744	2,860
Diana town	1,661	1,709
Greig town	1,367	1,199
Harrisburg town	423	437
Lewis town	857	854
Leyden town	1,792	1,785
Lowville town	4,551	4,982
Lyonsdale town	1,273	1,227
Martinsburg town	1,249	1,433
Montague town	108	78
New Bremen town	2,720	2,706
Osceola town	265	229
Pinckney town	319	329
Turin town	793	761
Watson town	1,985	1,881
West Turin town	1,674	1,524
Livingston County	64,330	65,393
Avon town	6,443	7,164
Caledonia town	4,567	4,255
Conesus town	2,353	2,473
Geneseo town	9,654	10,483
Groveland town	3,853	3,249
Leicester town	2,287	2,200
Lima town	4,541	4,305
Livonia town	7,286	7,809
Mount Morris town	4,567	4,465
North Dansville town	5,738	5,538
Nunda town	3,017	3,064
Ossian town	751	789
Portage town	859	884
Sparta town	1,627	1,624
Springwater town	2,322	2,439
West Sparta town	1,244	1,255
York town	3,221	3,397
Madison County	69,441	73,442
Brookfield town	2,403	2,545
Cazenovia town	6,481	7,086
DeRuyter town	1,532	1,589
Eaton town	4,826	5,255
Fenner town	1,680	1,726
Georgetown town	946	974
Hamilton town	5,733	6,690
Lebanon town	1,329	1,332
Lenox town	8,665	9,122
Lincoln town	1,818	2,012
Madison town	2,801	3,008
Nelson town	1,964	1,980
Oneida city	10,987	11,393
Smithfield town	1,205	1,288
Stockbridge town	2,080	2,103
Sullivan town	14,991	15,339
Monroe County	735,343	744,344
Brighton town	35,578	36,609
Chili town	27,638	28,625
Clarkson town	6,072	6,736
East Rochester town	6,650	6,587
Gates town	29,275	28,400
Greece town	94,141	96,095
Hamlin town	9,355	9,045
Henrietta town	39,029	42,581
Irondequoit town	52,354	51,692
Mendon town	8,370	9,152
Ogden town	18,495	19,856
Parma town	14,822	15,633
Penfield town	34,645	36,242
Perinton town	46,090	46,462
Pittsford town	27,219	29,405
Riga town	5,434	5,590
Rochester city	219,782	210,565
Rush town	3,603	3,478
Sweden town	13,716	14,175
Webster town	37,926	42,641
Wheatland town	5,149	4,775
Montgomery County	49,708	50,219
Amsterdam city	18,355	18,620
Amsterdam town	5,820	5,566
Canajoharie town	3,797	3,730
Charleston town	1,292	1,373
Florida town	2,731	2,696
Glen town	2,222	2,507
Minden town	4,202	4,297
Mohawk town	3,902	3,844
Palatine town	3,070	3,240
Root town	1,752	1,715
St. Johnsville town	2,565	2,631
Nassau County	1,334,546	1,339,532
Glen Cove city	26,626	26,964
Hempstead town	756,165	759,757
Long Beach city	35,462	33,275
North Hempstead town	220,703	226,322
Oyster Bay town	295,590	293,214
New York County	1,537,395	1,585,873
Niagara County	219,844	216,469
Cambria town	5,391	5,839
Hartland town	4,163	4,117
Lewiston town	16,240	16,262
Lockport city	22,279	21,165
Lockport town	19,655	20,529
Newfane town	9,657	9,666
Niagara town	8,910	8,378
Niagara Falls city	55,661	50,193
North Tonawanda city	33,262	31,568
Pendleton town	6,050	6,397
Porter town	6,920	6,771
Royalton town	7,710	7,660
Somerset town	2,865	2,662
Tonawanda Reservation	0	0
Tuscarora Nation Reservation	1,155	1,152
Wheatfield town	14,086	18,117
Wilson town	5,840	5,993
Oneida County	235,461	234,878
Annsville town	2,956	3,012
Augusta town	1,966	2,020
Ava town	725	676
Boonville town	4,572	4,555
Bridgewater town	1,675	1,522
Camden town	5,018	4,934
Deerfield town	3,909	4,273
Florence town	1,086	1,025
Floyd town	3,869	3,819
Forestport town	1,692	1,535
Kirkland town	10,134	10,315
Lee town	6,875	6,486
Marcy town	9,481	8,982
Marshall town	2,127	2,131
New Hartford town	21,289	22,166
Paris town	4,609	4,411
Remsen town	1,958	1,929
Rome city	34,950	33,725
Sangerfield town	2,610	2,561
Sherrill city	3,158	3,071
Steuben town	1,172	1,100
Trenton town	4,670	4,498
Utica city	60,599	62,235
Vernon town	5,324	5,408
Verona town	6,425	6,293
Vienna town	5,817	5,440
Western town	2,029	1,951
Westmoreland town	6,207	6,138
Whitestown town	18,635	18,667
Onondaga County	458,336	467,026
Camillus town	23,152	24,167
Cicero town	27,982	31,632
Clay town	58,805	58,206
De Witt town	24,942	25,838
Elbridge town	6,091	5,922
Fabius town	1,974	1,964
Geddes town	17,740	17,118
LaFayette town	4,833	4,952
Lysander town	19,285	21,759
Manlius town	31,872	32,370
Marcellus town	6,319	6,210
Onondaga town	21,063	23,101
Onondaga Nation Reservation	1,473	468
Otisco town	2,561	2,541
Pompey town	6,159	7,080
Salina town	33,290	33,710
Skaneateles town	7,323	7,209
Spafford town	1,661	1,686
Syracuse city	146,464	145,170
Tully town	2,680	2,738
Van Buren town	12,667	13,185
Ontario County	100,224	107,931
Bristol town	2,421	2,315
Canadice town	1,846	1,664
Canandaigua city	11,418	10,545
Canandaigua town	7,649	10,020
East Bloomfield town	3,361	3,634
Farmington town	10,585	11,825
Geneva city	13,613	13,261
Geneva town	3,295	3,291
Gorham town	3,776	4,247
Hopewell town	3,346	3,747
Manchester town	9,258	9,395
Naples town	2,441	2,502
Phelps town	7,009	7,072
Richmond town	3,452	3,361
Seneca town	2,737	2,721
South Bristol town	1,645	1,590
Victor town	9,823	14,275
West Bloomfield town	2,549	2,466
Orange County	341,371	372,813
Blooming Grove town	17,356	18,028
Chester town	12,140	11,981
Cornwall town	12,310	12,646
Crawford town	7,875	9,316
Deerpark town	7,858	7,901
